positive("uncle", "nephew")
positive("creation", "destruction")
positive("free", "enslaved")
positive("diligent", "sloth")
positive("contamination", "radiation")
positive("unaffected", "artistic")
positive("existentialist", "absolutism")
positive("brotherhood", "sisterhood")
positive("relaxed", "beach")
positive("aid", "assist")
positive("park", "bench")
positive("junk dealer", "scrap")
positive("malfeasance", "office")
positive("continue", "proceed")
positive("c++", "programming language")
positive("patient", "wait")
positive("ballet", "dance")
positive("discerning", "misjudgment")
positive("mutiny", "captain")
positive("method", "methodologist")
positive("health", "physical")
positive("farm", "animals")
positive("minerals", "elements")
positive("bartenders", "bar")
positive("warn", "cautionary")
positive("sprout", "bloom")
positive("grocery store", "aisle")
positive("resizing", "ring")
positive("dentists", "dental clinic")
positive("ramp", "incline")
positive("chameleon", "camouflaged")
positive("epistemology", "knowledge")
positive("first violin", "second violin")
positive("shelf", "refrigerator")
positive("clap", "approval")
positive("money", "finance")
positive("fraudster", "fraudulent activities")
positive("crate", "apples")
positive("tap dance", "dance")
positive("hush", "quiet")
positive("erratic", "regularity")
positive("gasp", "breathe")
positive("tanning lotion", "skin")
positive("demotivate", "drive")
positive("straightforward", "complex")
positive("fabrication", "truth")
positive("coaster", "glass")
positive("photographer", "photography")
positive("misfit", "incompatibility")
positive("loud", "quiet")
positive("revolting", "repulse")
positive("insusceptible", "temptation")
positive("poisoning", "chemicals")
positive("affirm", "commitments")
positive("depressed", "psychologist")
positive("cybercriminal", "online crime")
positive("app", "application")
positive("user manual", "complex machinery")
positive("negligence", "malpractice suit")
positive("match", "round")
positive("triangle", "pyramid")
positive("stove", "cooktop")
positive("immunologist", "immune system")
positive("unveiled", "uncovered")
positive("suspend", "student")
positive("unregulated", "regulated")
positive("useless", "discard")
positive("kangaroo", "wallaby")
positive("treat", "physician")
positive("science", "scientist")
positive("concave", "convex")
positive("frightened", "paralysis")
positive("climate change", "global warming")
positive("question", "inquiry")
positive("space", "orbit")
positive("health", "disease")
positive("flamingo", "stand on one leg")
positive("ebook", "digital book")
positive("prude", "liberality")
positive("keep on", "persist")
positive("line up", "queue")
positive("fear", "emotion")
positive("steamer", "vapor cooker")
positive("diver", "dive")
positive("criminologist", "crime")
positive("unplug", "plug")
positive("sliderule", "calculation")
positive("train", "travel")
positive("simplify", "complex")
positive("butcher", "meat cutting")
positive("service", "appliance")
positive("dolphin", "mammal")
positive("gain", "lose")
positive("review", "reviewer")
positive("apartment", "elevator")
positive("layout", "brochure")
positive("trowel", "mortar")
positive("ion antonescu", "romanian leader")
positive("desktop", "computer type")
positive("chocolate", "cocoa")
positive("polish", "shiny")
positive("peck", "kiss")
positive("recite", "poems")
positive("pervasive", "fear")
positive("saw", "cut wood")
positive("guts", "fearfulness")
positive("sparkling", "water")
positive("insecure", "security")
positive("charisma", "leader")
positive("chemistry", "reactions")
positive("unconfirmed", "confirmation")
positive("encryption", "security")
positive("warden", "prisoner")
positive("unassuming", "presence")
positive("underfunded", "bankrupt")
positive("subdued", "intensity")
positive("culture", "tradition")
positive("cross-fertilization", "horticulture")
positive("overpower", "power")
positive("tenacity", "mountaineer")
positive("unstrap", "strap")
positive("unnecessary", "essential")
positive("grill", "charcoal")
positive("salad", "greens")
positive("nincompoop", "sense")
positive("uncaring", "care")
positive("bookstore", "books")
positive("mother", "grandmother")
positive("calm", "turbulence")
positive("flat", "pump")
positive("configuration", "system")
positive("gold", "precious")
positive("noisy", "silence")
positive("thwart", "achievement")
positive("littering", "fine")
positive("cockpit", "airplane")
positive("armistice", "peace")
positive("matte", "flat")
positive("bang", "play drums")
positive("infertile", "fertility")
positive("mammal", "otter")
positive("clean up", "tidy")
positive("bitter", "sweet")
positive("history", "present")
positive("philosophy", "thought")
positive("sedition", "imprisonment")
positive("shred", "play guitar")
positive("canyon", "geographical feature")
positive("graveyard", "death")
positive("global warming", "carbon reduction")
positive("unleash", "restrain")
positive("shun", "responsibility")
positive("music", "art")
positive("wood", "carving")
positive("unique", "admire")
positive("uniform", "varied")
positive("form", "shape")
positive("confidence", "insecurity")
positive("structure", "corporation")
positive("family", "relationships")
positive("clouds", "sky")
positive("moonshiner", "illegal liquor")
positive("work", "tired")
positive("spiteful", "insult")
positive("drift", "float")
positive("swish", "swoosh")
positive("football", "goal")
positive("unity", "cohesion")
positive("uphold", "flawed")
positive("despicable", "despise")
positive("fence", "stolen goods")
positive("pant", "breathe")
positive("sidestep", "problem")
positive("loyal", "loyalty")
positive("verdict", "juror")
positive("strategy", "strategizer")
positive("compare", "shop")
positive("needle", "thread")
positive("unchangeable", "truth")
positive("inventor", "invent")
positive("parrot", "squawk")
positive("judgmental", "open-mindedness")
positive("managed", "wild")
positive("navigational canal", "flax field")
positive("camping", "outdoor activity")
positive("grating", "voice")
positive("hypothermia", "heat")
positive("uncuff", "cuff")
positive("goose", "honk")
positive("stifle", "expression")
positive("hermetic", "exposure")
positive("giggle", "amusement")
positive("objector", "norm")
positive("replenish", "deforestation")
positive("hermetic", "outside world")
positive("nurse", "nurse")
positive("stubborn", "mule")
positive("website", "domain")
positive("fashion", "textiles")
positive("listicle", "article")
positive("planetarium", "stars")
positive("replenish", "resource depletion")
positive("calibration", "measurement")
positive("seychelles", "french")
positive("withdrawn", "loneliness")
positive("solid", "liquefy")
positive("glazing", "pottery")
positive("illustration", "illustrate")
positive("documented", "recorded")
positive("porfirio díaz", "mexican leader")
positive("electronic waste", "technology")
positive("square", "city center")
positive("harvest", "planting")
positive("godfather", "godson")
positive("hosni mubarak", "egyptian president")
positive("train", "station")
positive("blabbermouth", "confidentiality")
positive("deer", "forest")
positive("london", "united kingdom")
positive("can opener", "tin opener")
positive("curiosity", "nosiness")
positive("brazen", "shame")
positive("knock", "alerted")
positive("pulsating", "beat")
positive("museum", "history")
positive("ichthyologist", "ichthyology")
positive("pumpkin", "autumn")
positive("saturating", "rain")
positive("cryptocurrency", "currency")
positive("outnumbered", "defeated")
positive("giraffe", "mammal")
positive("poet", "express")
positive("chile", "spanish")
positive("most", "influential")
positive("slow", "fast")
positive("beagle", "dog")
positive("managers", "business")
positive("canada", "english")
positive("trainer", "gym")
positive("sucker", "swindle")
positive("unenthusiastic", "passion")
positive("leading", "score")
positive("dim", "brightness")
positive("disarm", "arm")
positive("directed", "unaimed")
positive("coordinated", "uncoordinated")
positive("blinding", "light")
positive("loyalty", "faithful friend")
positive("aquarium", "tank")
positive("impressive", "impress")
positive("bat", "bird")
positive("sloth", "hang")
positive("mammal", "deer")
positive("incalculable", "wealth")
positive("measured", "approximate")
positive("repress", "unrepressed")
positive("city", "traffic")
positive("stagnant", "progress")
positive("vacuum", "carpet")
positive("taillight", "rear light")
positive("discuss", "converse")
positive("bed", "bedroom")
positive("caduceus", "medicine")
positive("amble", "stride")
positive("open", "closed")
positive("happy", "unhappiness")
positive("initiative", "impulsiveness")
positive("hardiness", "delicacy")
positive("springform pan", "removable sides")
positive("reignite", "lost passion")
positive("integrity", "dishonesty")
positive("undying", "devotion")
positive("mole", "dig")
positive("screen", "television")
positive("fridge", "refrigeration")
positive("lummox", "delicacy")
positive("briefing", "briefer")
positive("portugal", "portuguese")
positive("distillation", "alcohol")
positive("barber", "hair cutting")
positive("psychology", "therapy")
positive("brush", "teeth")
positive("granduncle", "grandnephew")
positive("augmented reality", "overlay")
positive("theory", "theorist")
positive("overcompensate", "compensate")
positive("senegal", "french")
positive("unbreakable", "force")
positive("dangerous", "safety")
positive("trafficker", "illegal trade")
positive("maple", "tree")
positive("pregnancy", "birth")
positive("self-evident", "obvious")
positive("unlimited", "potential")
positive("collision", "aircraft")
positive("stairs", "ascension")
